"","Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families","Median family income (dollars)","Mean family income (dollars)"
"Middlesex County, Connecticut","43850","98501","116123"
"New Haven County, Connecticut","213700","79408","98570"
"New London County, Connecticut","70367","82076","99136"
"Tolland County, Connecticut","37387","95996","110324"
"Windham County, Connecticut","29822","74484","83449"
"Kent County, Delaware","40853","64414","74813"
"New Castle County, Delaware","134103","79954","100149"
"Sussex County, Delaware","51828","61308","75219"
"District of Columbia, District of Columbia","112278","79665","126759"
"Alachua County, Florida","51365","62139","83474"
"Baker County, Florida","6298","58850","68997"
"Bay County, Florida","43685","57295","69592"
"Bradford County, Florida","6165","49562","60013"
"Brevard County, Florida","142130","59810","75909"
"Broward County, Florida","418780","61526","83467"
"Calhoun County, Florida","3169","39384","50813"
"Charlotte County, Florida","46164","53586","67358"
"Citrus County, Florida","38553","48013","60663"
"Clay County, Florida","50998","68078","81079"
"Collier County, Florida","82474","65980","106892"
"Columbia County, Florida","15313","45003","59237"
"DeSoto County, Florida","7408","38565","47802"
"Dixie County, Florida","3848","42959","50822"
"Duval County, Florida","207670","59238","77485"
"Escambia County, Florida","69084","55382","69819"
"Flagler County, Florida","25206","53823","70404"
"Franklin County, Florida","2923","48661","62606"
"Gadsden County, Florida","10853","50314","54862"
"Gilchrist County, Florida","4430","46202","55763"
"Glades County, Florida","2547","37317","47493"
"Gulf County, Florida","3717","44574","57090"
"Hamilton County, Florida","3062","46295","59595"
"Hardee County, Florida","5700","40872","55273"
"Hendry County, Florida","7844","40657","56037"
"Hernando County, Florida","47915","48461","58293"
"Highlands County, Florida","25565","42866","54876"
"Hillsborough County, Florida","300804","59894","81698"
"Holmes County, Florida","4721","45713","52475"
"Indian River County, Florida","37230","56151","84774"
"Jackson County, Florida","10652","48028","57916"
"Jefferson County, Florida","3638","51029","65210"
"Lafayette County, Florida","1737","52627","70617"
"Lake County, Florida","81205","54237","68207"
"Lee County, Florida","159917","56847","78489"
"Leon County, Florida","61657","68516","85720"
"Levy County, Florida","10482","41278","51030"
"Liberty County, Florida","1494","52230","61043"
"Madison County, Florida","4710","40486","50592"
"Manatee County, Florida","84432","58263","77074"
"Marion County, Florida","89901","46538","60435"
"Martin County, Florida","37275","68003","98939"
"Miami-Dade County, Florida","567717","49138","73252"
"Monroe County, Florida","16587","63550","94730"
"Nassau County, Florida","20621","63888","82459"
"Okaloosa County, Florida","49332","64668","80370"
"Okeechobee County, Florida","8998","43119","55780"
"Orange County, Florida","267140","56830","77581"
"Osceola County, Florida","67632","47839","59077"
"Palm Beach County, Florida","324859","64260","95409"
"Pasco County, Florida","121121","53807","67951"
"Pinellas County, Florida","223360","59491","79505"
