"","Estimate; INCOME AND BENEFITS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families","Median family income (dollars)","Mean family income (dollars)"
"Jefferson County, New York","30659","55325","65799"
"Kings County, New York","583135","51581","74741"
"Lewis County, New York","7501","55401","65804"
"Livingston County, New York","15902","66664","74063"
"Madison County, New York","17737","66688","77833"
"Monroe County, New York","182478","68524","85278"
"Montgomery County, New York","12590","55028","66268"
"Nassau County, New York","339120","112874","142224"
"New York County, New York","301894","84627","172680"
"Niagara County, New York","55500","63523","75400"
"Oneida County, New York","56564","62090","74862"
"Onondaga County, New York","113831","70143","86356"
"Ontario County, New York","28864","70381","87567"
"Orange County, New York","89873","85100","100210"
"Orleans County, New York","10755","58031","68198"
"Oswego County, New York","30580","59391","70191"
"Otsego County, New York","15030","60526","73365"
"Putnam County, New York","26518","109188","128952"
"Queens County, New York","525368","64371","81158"
"Rensselaer County, New York","40006","74519","87549"
"Richmond County, New York","121285","86133","101839"
"Rockland County, New York","74429","99649","121213"
"St. Lawrence County, New York","26777","53346","66045"
"Saratoga County, New York","58164","87058","103600"
"Schenectady County, New York","35527","73910","85844"
"Schoharie County, New York","8425","65610","77552"
"Schuyler County, New York","4871","58866","67582"
"Seneca County, New York","8384","60974","71875"
"Steuben County, New York","26541","56903","71188"
"Suffolk County, New York","374411","100652","120896"
"Sullivan County, New York","18488","60166","73119"
"Tioga County, New York","14112","66950","79291"
"Tompkins County, New York","20189","73828","94660"
"Ulster County, New York","44833","72632","89986"
"Warren County, New York","18142","66622","83235"
"Washington County, New York","16882","61494","70358"
"Wayne County, New York","25375","62677","73232"
"Westchester County, New York","237934","105341","157937"
"Wyoming County, New York","10512","62490","70210"
"Yates County, New York","6797","60271","73748"
"Alamance County, North Carolina","40615","53945","67452"
"Alexander County, North Carolina","9743","50123","60976"
"Alleghany County, North Carolina","3360","40767","52613"
"Anson County, North Carolina","6548","39667","50919"
"Ashe County, North Carolina","8201","47184","55968"
"Avery County, North Carolina","4715","46847","63056"
"Beaufort County, North Carolina","13107","49574","60813"
"Bertie County, North Carolina","4991","40850","54386"
"Bladen County, North Carolina","9221","43210","55288"
"Brunswick County, North Carolina","33548","54220","69864"
"Buncombe County, North Carolina","60303","56616","73571"
"Burke County, North Carolina","23236","49127","58675"
"Cabarrus County, North Carolina","47049","66058","78590"
"Caldwell County, North Carolina","20741","46628","57486"
"Camden County, North Carolina","2702","70025","77264"
"Carteret County, North Carolina","18968","57328","72804"
"Caswell County, North Carolina","6306","45925","54093"
"Catawba County, North Carolina","39774","54596","69500"
"Chatham County, North Carolina","18494","66875","88551"
"Cherokee County, North Carolina","7470","43178","50667"
"Chowan County, North Carolina","3831","43512","56306"
"Clay County, North Carolina","2931","46528","58297"
"Cleveland County, North Carolina","25685","48723","59446"
"Columbus County, North Carolina","14303","45865","57867"
"Craven County, North Carolina","28105","55689","67835"
"Cumberland County, North Carolina","81041","51944","65171"
"Currituck County, North Carolina","6548","66626","76391"
"Dare County, North Carolina","9223","64404","80236"
"Davidson County, North Carolina","44918","54218","65442"
"Davie County, North Carolina","11769","58530","76606"
"Duplin County, North Carolina","14822","42029","51825"
"Durham County, North Carolina","65984","66448","86099"
"Edgecombe County, North Carolina","14528","42351","50537"
"Forsyth County, North Carolina","89143","59764","79506"
"Franklin County, North Carolina","16647","51353","62968"
"Gaston County, North Carolina","54318","51851","67461"
"Gates County, North Carolina","3287","53577","62770"
"Graham County, North Carolina","2423","39580","51609"
"Granville County, North Carolina","14181","54842","67440"
"Greene County, North Carolina","4974","50781","61299"
"Guilford County, North Carolina","123750","58551","78898"
"Halifax County, North Carolina","14062","42607","54350"
"Harnett County, North Carolina","29073","54000","64220"
"Haywood County, North Carolina","17978","52014","63671"
"Henderson County, North Carolina","30320","57062","71194"
"Hertford County, North Carolina","5819","41713","56695"
"Hoke County, North Carolina","12068","53584","58699"
"Hyde County, North Carolina","1502","42048","50497"
"Iredell County, North Carolina","43150","60413","79940"
"Jackson County, North Carolina","9714","48568","63015"
"Johnston County, North Carolina","45533","58463","68306"
"Jones County, North Carolina","2621","49041","57731"
"Lee County, North Carolina","14698","55582","65574"
"Lenoir County, North Carolina","15464","45306","56473"
"Lincoln County, North Carolina","21705","60059","75134"
"McDowell County, North Carolina","11539","45874","55140"
"Macon County, North Carolina","10216","45633","60140"
"Madison County, North Carolina","5639","49806","57719"
"Martin County, North Carolina","6292","44633","52774"
"Mecklenburg County, North Carolina","228213","68083","97042"
"Mitchell County, North Carolina","4554","46432","55115"
"Montgomery County, North Carolina","6751","43038","57361"
"Moore County, North Carolina","24932","62099","81688"
"Nash County, North Carolina","25043","52681","66708"
"New Hanover County, North Carolina","49785","67938","88193"
"Northampton County, North Carolina","5560","37249","48016"
"Onslow County, North Carolina","43781","49819","60526"
"Orange County, North Carolina","30718","84770","118089"
"Pamlico County, North Carolina","3682","54679","67670"
"Pasquotank County, North Carolina","9953","55554","67975"
"Pender County, North Carolina","14255","53740","70972"
"Perquimans County, North Carolina","4052","51103","67080"
"Person County, North Carolina","10337","49521","61444"
"Pitt County, North Carolina","39136","56512","73313"
"Polk County, North Carolina","5849","53909","66436"
"Randolph County, North Carolina","38809","50234","60019"
"Richmond County, North Carolina","11669","40322","51054"
"Robeson County, North Carolina","31892","35861","48675"
"Rockingham County, North Carolina","25815","47715","59212"
"Rowan County, North Carolina","35990","50537","61566"
"Rutherford County, North Carolina","19275","42636","54226"
"Sampson County, North Carolina","15852","43557","58470"
"Scotland County, North Carolina","8765","36073","45892"
"Stanly County, North Carolina","15994","54611","62532"
"Stokes County, North Carolina","13666","50910","60503"
"Surry County, North Carolina","20315","44788","57051"
"Swain County, North Carolina","3536","51589","58014"
"Transylvania County, North Carolina","9137","51702","65295"
"Tyrrell County, North Carolina","1071","38493","50365"
"Union County, North Carolina","54975","74132","94920"
"Vance County, North Carolina","11094","41930","53989"
"Wake County, North Carolina","231753","83568","102257"
"Warren County, North Carolina","5142","44587","57984"
"Washington County, North Carolina","3198","43636","54738"
"Watauga County, North Carolina","11025","60066","75183"
"Wayne County, North Carolina","32212","51391","61993"
"Wilkes County, North Carolina","19353","42083","54919"
"Wilson County, North Carolina","21274","47796","60825"
"Yadkin County, North Carolina","10416","50372","65055"
"Yancey County, North Carolina","5163","45693","56306"
"Adams County, North Dakota","739","65859","78103"
"Barnes County, North Dakota","3057","67150","86123"
"Benson County, North Dakota","1605","40821","56654"
"Billings County, North Dakota","228","69167","102713"
"Bottineau County, North Dakota","1835","71217","88562"
"Bowman County, North Dakota","869","76750","91758"
"Burke County, North Dakota","601","70096","85140"
"Burleigh County, North Dakota","22057","82235","97544"
"Cass County, North Dakota","36232","74024","92390"
"Cavalier County, North Dakota","1167","72946","87322"
"Dickey County, North Dakota","1321","62298","73431"
"Divide County, North Dakota","659","69632","97773"
"Dunn County, North Dakota","994","76346","98074"
"Eddy County, North Dakota","630","55500","70794"
"Emmons County, North Dakota","1004","48816","75625"
"Foster County, North Dakota","1052","68547","92774"
"Golden Valley County, North Dakota","393","64821","77462"
"Grand Forks County, North Dakota","15084","70875","87519"
"Grant County, North Dakota","669","59531","75972"
"Griggs County, North Dakota","719","63150","72491"
"Hettinger County, North Dakota","754","65577","78999"
"Kidder County, North Dakota","847","57675","71417"
"LaMoure County, North Dakota","1221","65958","85822"
"Logan County, North Dakota","547","60903","82887"
"McHenry County, North Dakota","1590","61367","75824"
"McIntosh County, North Dakota","820","50887","67911"
"McKenzie County, North Dakota","1883","77366","100615"
"McLean County, North Dakota","2696","67636","83358"
"Mercer County, North Dakota","2393","80827","87607"
"Morton County, North Dakota","7768","69894","83251"
"Mountrail County, North Dakota","2207","76282","99101"
"Nelson County, North Dakota","893","64792","82773"
"Oliver County, North Dakota","568","81500","88086"
"Pembina County, North Dakota","2137","62147","73059"
"Pierce County, North Dakota","1210","63243","66759"
"Ramsey County, North Dakota","2766","63380","79342"
"Ransom County, North Dakota","1399","66076","72517"
"Renville County, North Dakota","728","77143","86593"
"Richland County, North Dakota","4267","72409","80245"
"Rolette County, North Dakota","3450","38763","50604"
"Sargent County, North Dakota","1143","67132","82018"
"Sheridan County, North Dakota","435","48403","68288"
"Sioux County, North Dakota","813","34042","54619"
"Slope County, North Dakota","216","74167","86494"
"Stark County, North Dakota","6539","75333","88927"
"Steele County, North Dakota","595","67159","81692"
"Stutsman County, North Dakota","5465","65032","77469"
"Towner County, North Dakota","668","67969","82850"
"Traill County, North Dakota","1964","71359","84260"
"Walsh County, North Dakota","3112","61156","72978"
"Ward County, North Dakota","15832","67738","80347"
"Wells County, North Dakota","1310","57125","75585"
"Williams County, North Dakota","6487","86285","102824"
"Adams County, Ohio","7729","43771","52599"
"Allen County, Ohio","27143","54846","66459"
"Ashland County, Ohio","14282","55342","66525"
"Ashtabula County, Ohio","25673","50218","58438"
"Athens County, Ohio","12206","50583","62861"
"Auglaize County, Ohio","12689","62940","73116"
"Belmont County, Ohio","18356","52232","63386"
"Brown County, Ohio","11943","51674","62229"
"Butler County, Ohio","94581","69799","83785"
"Carroll County, Ohio","7856","52336","62769"
"Champaign County, Ohio","10862","58486","69481"
"Clark County, Ohio","35850","54149","66398"
"Clermont County, Ohio","53000","71914","86868"
"Clinton County, Ohio","11342","54413","64442"
"Columbiana County, Ohio","28546","53267","62159"
"Coshocton County, Ohio","10144","48818","58950"
"Crawford County, Ohio","11839","49718","59961"
"Cuyahoga County, Ohio","309945","59745","79912"
"Darke County, Ohio","14158","53929","65598"
"Defiance County, Ohio","10900","55802","65455"
"Delaware County, Ohio","49144","103564","125057"
"Erie County, Ohio","20995","60856","73550"
"Fairfield County, Ohio","39235","70352","81987"
"Fayette County, Ohio","7619","45108","57937"
"Franklin County, Ohio","273033","64693","84210"
"Fulton County, Ohio","12049","63355","74442"
"Gallia County, Ohio","8249","48918","62920"
"Geauga County, Ohio","25748","81952","107688"
"Greene County, Ohio","41855","73972","90997"
"Guernsey County, Ohio","10736","48708","59329"
"Hamilton County, Ohio","195106","65392","88736"
"Hancock County, Ohio","20125","64032","76883"
"Hardin County, Ohio","7757","52144","62515"
"Harrison County, Ohio","4402","48739","58789"
"Henry County, Ohio","7658","61426","68416"
"Highland County, Ohio","11682","46643","55075"
"Hocking County, Ohio","7964","52837","61944"
"Holmes County, Ohio","9945","53295","61945"
"Huron County, Ohio","15795","56337","65587"
"Jackson County, Ohio","8881","44755","54541"
"Jefferson County, Ohio","18655","51183","62215"
"Knox County, Ohio","15695","59561","72843"
"Lake County, Ohio","61436","69939","82841"
"Lawrence County, Ohio","16480","53015","61891"
"Licking County, Ohio","45087","67072","79846"
"Logan County, Ohio","12572","53810","63720"
"Lorain County, Ohio","80346","63212","77352"
"Lucas County, Ohio","107863","55295","70257"
"Madison County, Ohio","10233","65696","79414"
"Mahoning County, Ohio","61683","54118","68631"
"Marion County, Ohio","16891","53882","63923"
"Medina County, Ohio","48306","77729","91901"
"Meigs County, Ohio","6573","44783","53459"
"Mercer County, Ohio","11452","64758","72874"
"Miami County, Ohio","28104","61644","71956"
"Monroe County, Ohio","4258","46632","56750"
"Montgomery County, Ohio","134907","55971","71381"
"Morgan County, Ohio","4453","44902","58708"
"Morrow County, Ohio","9753","58660","66627"
"Muskingum County, Ohio","22973","50977","59863"
"Noble County, Ohio","3436","43146","52773"
"Ottawa County, Ohio","12200","65311","76794"
"Paulding County, Ohio","5432","58225","68744"
"Perry County, Ohio","10030","48828","56908"
"Pickaway County, Ohio","14217","64576","75400"
"Pike County, Ohio","7586","46476","57586"
"Portage County, Ohio","40312","66446","77717"
"Preble County, Ohio","11644","57530","68030"
"Putnam County, Ohio","9630","72075","78214"
"Richland County, Ohio","31166","53602","64280"
"Ross County, Ohio","19193","52836","65840"
"Sandusky County, Ohio","16440","56634","65532"
"Scioto County, Ohio","19186","49280","61068"
"Seneca County, Ohio","15110","54219","65061"
"Shelby County, Ohio","13253","60939","74556"
"Stark County, Ohio","99208","57381","71142"
"Summit County, Ohio","138430","64157","81577"
"Trumbull County, Ohio","55634","53975","63888"
"Tuscarawas County, Ohio","25091","52496","62863"
"Union County, Ohio","13380","79744","93971"
"Van Wert County, Ohio","7933","57364","66967"
"Vinton County, Ohio","3674","41674","50220"
"Warren County, Ohio","58384","85636","104640"
"Washington County, Ohio","16431","55505","67377"
"Wayne County, Ohio","30045","60737","70894"
"Williams County, Ohio","10160","52347","61599"
"Wood County, Ohio","31329","69704","81835"
"Wyandot County, Ohio","6138","57009","64483"
"Adair County, Oklahoma","5972","39019","47492"
"Alfalfa County, Oklahoma","1300","57604","72167"
"Atoka County, Oklahoma","3801","41653","55090"
"Beaver County, Oklahoma","1541","60483","76277"
"Beckham County, Oklahoma","5273","60852","72159"
"Blaine County, Oklahoma","2520","51519","65438"
"Bryan County, Oklahoma","10691","47403","61493"
"Caddo County, Oklahoma","7120","48238","57181"
"Canadian County, Oklahoma","31211","72849","84498"
"Carter County, Oklahoma","11573","52415","67054"
"Cherokee County, Oklahoma","11120","49379","58660"
"Choctaw County, Oklahoma","3910","42011","51915"
"Cimarron County, Oklahoma","720","49600","62599"
"Cleveland County, Oklahoma","64188","69531","83983"
"Coal County, Oklahoma","1554","44888","57539"
"Comanche County, Oklahoma","29349","54389","65587"
"Cotton County, Oklahoma","1633","56721","64490"
"Craig County, Oklahoma","3790","50231","58485"
"Creek County, Oklahoma","18902","52398","65938"
"Custer County, Oklahoma","6939","56889","72256"
"Delaware County, Oklahoma","11582","45708","59583"
"Dewey County, Oklahoma","1256","57868","74721"
"Ellis County, Oklahoma","1198","59535","71252"
"Garfield County, Oklahoma","15892","53572","69714"
"Garvin County, Oklahoma","7072","47330","64235"
"Grady County, Oklahoma","14818","57046","69361"
"Grant County, Oklahoma","1298","58478","69601"
"Greer County, Oklahoma","1412","48694","60451"
"Harmon County, Oklahoma","777","36597","56278"
"Harper County, Oklahoma","1030","51087","61752"
"Haskell County, Oklahoma","3149","46474","54866"
"Hughes County, Oklahoma","3358","44973","58158"
"Jackson County, Oklahoma","7027","51599","62200"
"Jefferson County, Oklahoma","1737","40847","54871"
"Johnston County, Oklahoma","2852","39876","55077"
"Kay County, Oklahoma","11955","50266","63655"
"Kingfisher County, Oklahoma","4147","61528","72497"
"Kiowa County, Oklahoma","2535","46015","67112"
"Latimer County, Oklahoma","2975","49894","65395"
"Le Flore County, Oklahoma","12664","44408","54169"
"Lincoln County, Oklahoma","9430","53457","64337"
"Logan County, Oklahoma","10837","66917","83866"
"Love County, Oklahoma","2561","50761","58495"
"McClain County, Oklahoma","9698","67537","76655"
"McCurtain County, Oklahoma","9237","40224","50065"
"McIntosh County, Oklahoma","5518","44470","54131"
"Major County, Oklahoma","2147","60313","77664"
"Marshall County, Oklahoma","3879","47769","58579"
"Mayes County, Oklahoma","11336","52749","58847"
"Murray County, Oklahoma","3553","53246","62854"
"Muskogee County, Oklahoma","17882","48251","59760"
"Noble County, Oklahoma","3369","55018","63909"
"Nowata County, Oklahoma","2883","48694","55607"
"Okfuskee County, Oklahoma","3012","43452","51246"
"Oklahoma County, Oklahoma","176868","58240","79996"
"Okmulgee County, Oklahoma","10018","48720","58353"
"Osage County, Oklahoma","13203","55339","66084"
"Ottawa County, Oklahoma","8376","44106","54223"
"Pawnee County, Oklahoma","4443","56131","63003"
"Payne County, Oklahoma","16569","56881","70105"
"Pittsburg County, Oklahoma","12135","50907","63533"
"Pontotoc County, Oklahoma","9695","52738","65987"
"Pottawatomie County, Oklahoma","18095","51656","64249"
"Pushmataha County, Oklahoma","2993","38834","49620"
"Roger Mills County, Oklahoma","911","61583","84187"
"Rogers County, Oklahoma","24966","67554","80842"
"Seminole County, Oklahoma","6515","42751","53999"
"Sequoyah County, Oklahoma","11324","42828","52787"
"Stephens County, Oklahoma","11921","57834","68571"
"Texas County, Oklahoma","5271","57713","71590"
"Tillman County, Oklahoma","2055","45487","53597"
"Tulsa County, Oklahoma","153790","60745","81839"
"Wagoner County, Oklahoma","20663","63730","74431"
"Washington County, Oklahoma","14183","58761","74400"
"Washita County, Oklahoma","3368","53912","67036"
"Woods County, Oklahoma","1948","65064","82685"
"Woodward County, Oklahoma","4975","63096","73863"
"Baker County, Oregon","4603","51199","61279"
"Benton County, Oregon","18698","75012","88748"
"Clackamas County, Oregon","101963","76549","96675"
"Clatsop County, Oregon","9878","54849","70107"
"Columbia County, Oregon","13725","63435","75367"
"Coos County, Oregon","15899","47830","62085"
"Crook County, Oregon","6041","48486","55642"
"Curry County, Oregon","6164","48833","61026"
"Deschutes County, Oregon","43353","61488","76915"
"Douglas County, Oregon","29217","48420","59889"
"Gilliam County, Oregon","532","56667","61942"
"Grant County, Oregon","2126","46000","62439"
"Harney County, Oregon","2158","42540","55073"
"Hood River County, Oregon","5453","64422","76654"
"Jackson County, Oregon","53998","53254","67538"
"Jefferson County, Oregon","5506","46040","59597"
"Josephine County, Oregon","22009","46913","60802"
"Klamath County, Oregon","18313","48896","61158"
"Lake County, Oregon","2148","47537","60320"
"Lane County, Oregon","86248","56605","71015"
"Lincoln County, Oregon","13045","53750","65752"
"Linn County, Oregon","30845","55169","62065"
"Malheur County, Oregon","6879","45825","55755"
"Marion County, Oregon","78306","54920","67563"
"Morrow County, Oregon","2811","52652","63268"
"Multnomah County, Oregon","166106","65897","87199"
"Polk County, Oregon","19535","62802","75181"
"Sherman County, Oregon","484","57115","65115"
"Tillamook County, Oregon","6575","51235","61705"
"Umatilla County, Oregon","18424","57434","66949"
"Union County, Oregon","6763","51973","66168"
"Wallowa County, Oregon","1847","54513","62384"
"Wasco County, Oregon","6484","53598","69532"
"Washington County, Oregon","135468","76711","92888"
"Wheeler County, Oregon","410","46875","57737"
"Yamhill County, Oregon","24954","62284","75455"
"Adams County, Pennsylvania","27482","69551","81603"
"Allegheny County, Pennsylvania","304369","70380","91841"
"Armstrong County, Pennsylvania","19424","55063","65740"
"Beaver County, Pennsylvania","46783","62792","74244"
"Bedford County, Pennsylvania","14168","53401","61703"
"Berks County, Pennsylvania","105671","67138","81209"
"Blair County, Pennsylvania","33328","55446","68009"
"Bradford County, Pennsylvania","16738","56198","67832"
"Bucks County, Pennsylvania","165708","92907","115874"
"Butler County, Pennsylvania","50064","74043","91211"
"Cambria County, Pennsylvania","37228","54630","65337"
"Cameron County, Pennsylvania","1340","52800","60174"
"Carbon County, Pennsylvania","17872","57049","70008"
"Centre County, Pennsylvania","32597","70654","88139"
"Chester County, Pennsylvania","130385","105278","133413"
"Clarion County, Pennsylvania","10090","54945","65622"
"Clearfield County, Pennsylvania","21512","51031","60865"
"Clinton County, Pennsylvania","9698","55818","66933"
"Columbia County, Pennsylvania","16717","56917","72679"
"Crawford County, Pennsylvania","23012","53099","63830"
"Cumberland County, Pennsylvania","61683","77057","93333"
"Dauphin County, Pennsylvania","67882","68368","84223"
"Delaware County, Pennsylvania","137038","81523","105451"
"Elk County, Pennsylvania","8923","55378","63888"
"Erie County, Pennsylvania","69788","58451","73199"
"Fayette County, Pennsylvania","35194","49664","59378"
"Forest County, Pennsylvania","1189","45120","52451"
"Franklin County, Pennsylvania","39765","63117","74491"
"Fulton County, Pennsylvania","4230","56346","63634"
"Greene County, Pennsylvania","9520","55745","66612"
"Huntingdon County, Pennsylvania","11722","54961","62736"
"Indiana County, Pennsylvania","21857","56225","70664"
"Jefferson County, Pennsylvania","12282","51451","59751"
"Juniata County, Pennsylvania","6580","54701","63768"
"Lackawanna County, Pennsylvania","54388","59573","74909"
"Lancaster County, Pennsylvania","136782","67646","81271"
"Lawrence County, Pennsylvania","24769","55348","65833"
"Lebanon County, Pennsylvania","36337","64877","78459"
"Lehigh County, Pennsylvania","89929","67081","84247"
"Luzerne County, Pennsylvania","83178","58150","71401"
"Lycoming County, Pennsylvania","29847","57160","66910"
"McKean County, Pennsylvania","11462","51472","60752"
"Mercer County, Pennsylvania","30551","55943","66825"
"Mifflin County, Pennsylvania","12606","48222","58661"
"Monroe County, Pennsylvania","43483","65433","77900"
"Montgomery County, Pennsylvania","208752","99587","128461"
"Montour County, Pennsylvania","4786","62248","87488"
"Northampton County, Pennsylvania","77529","73386","88045"
"Northumberland County, Pennsylvania","25777","52280","63396"
"Perry County, Pennsylvania","13061","66005","73171"
"Philadelphia County, Pennsylvania","308924","46375","64811"
"Pike County, Pennsylvania","15528","68671","79233"
"Potter County, Pennsylvania","4800","50755","62911"
"Schuylkill County, Pennsylvania","39176","56974","66653"
"Snyder County, Pennsylvania","10421","53072","71115"
"Somerset County, Pennsylvania","20615","54418","65157"
"Sullivan County, Pennsylvania","1528","50855","63114"
"Susquehanna County, Pennsylvania","11782","57595","67804"
"Tioga County, Pennsylvania","11753","52998","63508"
"Union County, Pennsylvania","10255","55763","72238"
"Venango County, Pennsylvania","15124","51925","60517"
"Warren County, Pennsylvania","11223","56410","68209"
"Washington County, Pennsylvania","55569","68300","83324"
"Wayne County, Pennsylvania","13399","58934","69447"
"Westmoreland County, Pennsylvania","101612","65027","79836"
"Wyoming County, Pennsylvania","7487","58479","70548"
"York County, Pennsylvania","117774","70001","82616"
"Bristol County, Rhode Island","12912","93131","125299"
"Kent County, Rhode Island","43043","80038","97947"
"Newport County, Rhode Island","21413","88962","112429"
"Providence County, Rhode Island","146971","62348","78936"
"Washington County, Rhode Island","32740","91532","112030"
"Abbeville County, South Carolina","6621","47211","54818"
"Aiken County, South Carolina","42977","56150","70930"
"Allendale County, South Carolina","2257","30276","44381"
"Anderson County, South Carolina","51641","53856","65762"
"Bamberg County, South Carolina","3727","43317","55926"
"Barnwell County, South Carolina","5745","43818","53388"
"Beaufort County, South Carolina","44768","66878","91838"
"Berkeley County, South Carolina","46590","59373","72323"
"Calhoun County, South Carolina","4386","49517","64963"
"Charleston County, South Carolina","83901","65394","89630"
"Cherokee County, South Carolina","14189","43439","54833"
"Chester County, South Carolina","8511","42089","51314"
"Chesterfield County, South Carolina","12032","40989","50587"
"Clarendon County, South Carolina","8782","40172","53474"
"Colleton County, South Carolina","10418","41716","54462"
"Darlington County, South Carolina","18520","46150","58702"
"Dillon County, South Carolina","8129","33952","43509"
"Dorchester County, South Carolina","36874","62753","73856"
"Edgefield County, South Carolina","6478","53879","65610"
"Fairfield County, South Carolina","6247","44842","56409"
"Florence County, South Carolina","35462","51660","67104"
"Georgetown County, South Carolina","15966","51852","71299"
"Greenville County, South Carolina","117709","61768","79487"
"Greenwood County, South Carolina","18085","47807","61249"
"Hampton County, South Carolina","5277","42588","56980"
"Horry County, South Carolina","74228","51252","66111"
"Jasper County, South Carolina","5716","42070","51876"
"Kershaw County, South Carolina","17478","52593","65470"
"Lancaster County, South Carolina","20508","51067","60786"
"Laurens County, South Carolina","18090","44778","54375"
"Lee County, South Carolina","4372","36935","46486"
"Lexington County, South Carolina","70942","66099","78981"
"McCormick County, South Carolina","2893","48283","63190"
"Marion County, South Carolina","8440","38974","49662"
"Marlboro County, South Carolina","6445","31440","44794"
"Newberry County, South Carolina","9996","53963","63704"
"Oconee County, South Carolina","21011","49753","66965"
"Orangeburg County, South Carolina","22605","42038","53374"
"Pickens County, South Carolina","28721","54279","68158"
"Richland County, South Carolina","87554","62935","80633"
"Saluda County, South Carolina","4921","44705","59161"
"Spartanburg County, South Carolina","75250","52662","66484"
"Sumter County, South Carolina","27143","48603","60020"
"Union County, South Carolina","7897","41390","53506"
"Williamsburg County, South Carolina","7594","39346","48014"
"York County, South Carolina","61755","66256","80380"
"Aurora County, South Dakota","740","56389","70162"
"Beadle County, South Dakota","4414","58207","71751"
"Bennett County, South Dakota","783","40282","59019"
"Bon Homme County, South Dakota","1657","55508","68070"
"Brookings County, South Dakota","6954","61219","77192"
"Brown County, South Dakota","9516","64824","77502"
"Brule County, South Dakota","1486","57078","62023"
"Buffalo County, South Dakota","427","31301","40947"
"Butte County, South Dakota","2480","58006","65362"
"Campbell County, South Dakota","416","50938","65211"
"Charles Mix County, South Dakota","2054","51780","62284"
"Clark County, South Dakota","877","65089","93900"
"Clay County, South Dakota","2608","61750","72168"
"Codington County, South Dakota","6875","63037","76693"
"Corson County, South Dakota","863","37250","57485"
"Custer County, South Dakota","2438","61917","74225"
"Davison County, South Dakota","5203","62438","67748"
"Day County, South Dakota","1598","48450","62572"
"Deuel County, South Dakota","1218","64432","77572"
"Dewey County, South Dakota","1151","37277","54846"
"Douglas County, South Dakota","876","58529","77142"
"Edmunds County, South Dakota","1013","65179","76392"
"Fall River County, South Dakota","1796","58910","65735"
"Faulk County, South Dakota","582","54219","72805"
"Grant County, South Dakota","2165","57699","67795"
"Gregory County, South Dakota","1233","43160","59015"
"Haakon County, South Dakota","561","64120","71373"
"Hamlin County, South Dakota","1450","63659","79619"
"Hand County, South Dakota","961","59671","68587"
"Hanson County, South Dakota","766","64375","79264"
"Harding County, South Dakota","370","56354","65537"
"Hughes County, South Dakota","4321","83474","92777"
"Hutchinson County, South Dakota","1953","59403","78741"
"Hyde County, South Dakota","351","67292","76344"
"Jackson County, South Dakota","760","51196","62489"
"Jerauld County, South Dakota","640","54300","69643"
"Jones County, South Dakota","263","53854","68365"
"Kingsbury County, South Dakota","1584","61858","72900"
"Lake County, South Dakota","2932","66652","78050"
"Lawrence County, South Dakota","6361","66387","81036"
"Lincoln County, South Dakota","12857","85666","106124"
"Lyman County, South Dakota","943","61713","67211"
"McCook County, South Dakota","1503","66106","82380"
"McPherson County, South Dakota","691","44650","61169"
"Marshall County, South Dakota","1038","64375","82556"
"Meade County, South Dakota","7209","58193","71365"
"Mellette County, South Dakota","513","36023","46989"
"Miner County, South Dakota","633","60083","88390"
"Minnehaha County, South Dakota","43559","66555","78861"
"Moody County, South Dakota","1929","62624","74749"
"Pennington County, South Dakota","26352","64273","79827"
"Perkins County, South Dakota","800","56429","74226"
"Potter County, South Dakota","662","53750","65756"
"Roberts County, South Dakota","2606","57684","66601"
"Sanborn County, South Dakota","651","62583","72565"
"Shannon County, South Dakota","2367","26029","37791"
"Spink County, South Dakota","1667","61063","84651"
"Stanley County, South Dakota","798","61083","81021"
"Sully County, South Dakota","397","69345","79263"
"Todd County, South Dakota","2023","32671","39744"
"Tripp County, South Dakota","1651","48547","62388"
"Turner County, South Dakota","2400","62026","71697"
"Union County, South Dakota","3843","74758","102408"
"Walworth County, South Dakota","1465","59449","71701"
"Yankton County, South Dakota","5508","67897","84960"
"Ziebach County, South Dakota","626","32273","41884"
"Anderson County, Tennessee","20235","55940","69405"
"Bedford County, Tennessee","12094","47774","57274"
"Benton County, Tennessee","4540","39526","50501"
"Bledsoe County, Tennessee","3207","39993","51023"
"Blount County, Tennessee","33793","56626","68179"
"Bradley County, Tennessee","25858","50351","65710"
"Campbell County, Tennessee","10999","39284","48506"
"Cannon County, Tennessee","3888","48333","54985"
"Carroll County, Tennessee","7339","45351","56364"
"Carter County, Tennessee","16206","41010","51245"
"Cheatham County, Tennessee","10683","61433","69364"
"Chester County, Tennessee","4328","52983","58691"
"Claiborne County, Tennessee","8391","42766","51849"
"Clay County, Tennessee","2398","36659","44212"
"Cocke County, Tennessee","10221","39065","48982"
"Coffee County, Tennessee","14084","50394","61230"
"Crockett County, Tennessee","3939","43693","55081"
"Cumberland County, Tennessee","16243","43611","57970"
"Davidson County, Tennessee","142957","58535","81901"
"Decatur County, Tennessee","3473","46973","70368"
"DeKalb County, Tennessee","4938","44208","64469"
"Dickson County, Tennessee","13861","51398","62669"
"Dyer County, Tennessee","10894","47037","61456"
"Fayette County, Tennessee","11063","65276","80872"
"Fentress County, Tennessee","4950","37837","47041"
"Franklin County, Tennessee","11423","48711","63820"
"Gibson County, Tennessee","13054","47987","60836"
"Giles County, Tennessee","8143","47011","55992"
"Grainger County, Tennessee","6186","41071","53216"
"Greene County, Tennessee","19872","43400","55131"
